Customer,SP,Sales_2024,INCI,Sales_Product,Composition,Demand_2025,number_of_beauty_care_products_launched,Category,Sales_Demand_Ratio,Category_Sales_Ratio,Log_Sales_2024
Customer Asia,30535838.0,0.5,polyquaternium-37,COSMEDIA ULTRAGEL 300,Polyquaternium-37,2960.106824925816,15.0,Hair Conditioner,0.00016885577912661978,51115.8779884005,0.4054651081081644
Customer Asia,30795238.0,0.5,oryza sativa starch,VERDESSENCE RICETOUCH,Oryza Sativa (Rice) Starch,2960.106824925816,16.0,Thickener,0.00016885577912661978,3585.4219047619044,0.4054651081081644
Customer EMEA,30175430.0,0.5,diproopylene glycol,DIPROPYLENE GLYCOL CARE,Dipropylene Glycol,,,Solvent,,76427.3730975173,0.4054651081081644
Customer EMEA,30175430.0,0.5,dipropylene glycol,DIPROPYLENE GLYCOL CARE,Dipropylene Glycol,2960.106824925816,9.0,Solvent,0.00016885577912661978,76427.3730975173,0.4054651081081644
Customer EMEA,30530202.0,0.5,sodium cetearyl sulfate,LANETTE E GRANULES,Sodium Cetearyl Sulfate,2960.106824925816,1.0,Emulsifier,0.00016885577912661978,186680.51771064725,0.4054651081081644
Customer EMEA,30832033.0,0.5,polyglyceryl-10 stearate,EMULGADE VERDE 10 MS,polyglyceryl-10 stearate,2960.106824925816,12.0,Emulsifier,0.00016885577912661978,186680.51771064725,0.4054651081081644
Customer SA,30035086.0,0.5,pvp,LUVISKOL K 30 POWDER,PVP,2960.106824925816,5.0,Film Former,0.00016885577912661978,53403.71554032189,0.4054651081081644
Customer SA,30083071.0,0.5,zinc oxide,Z-COTE,Zinc Oxide (nano),2960.106824925816,1.0,UV Filter,0.00016885577912661978,115251.3095584073,0.4054651081081644
Customer SA,30164505.0,0.5,polaxamer 407,PLURACARE F127 NF PRILL SURF.,Poloxamer 407,,,,,,0.4054651081081644
Customer SA,30164505.0,0.5,poloxamer 407,PLURACARE F127 NF PRILL SURF.,Poloxamer 407,2960.106824925816,1.0,Surfactant,0.00016885577912661978,1706518.3117315432,0.4054651081081644
Customer SA,30164505.0,0.5,poloxamer 407,PLURACARE F127 NF PRILL SURFACTANT,Poloxamer 407,2960.106824925816,1.0,Surfactant,0.00016885577912661978,1706518.3117315432,0.4054651081081644
Customer SA,30475172.0,0.5,pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate,TINOGARD TT DD,Pentaerythrityl Tetra-Di-t-Butyl Hydroxyhydrocinnamate,2960.106824925816,1.0,Antioxidant,0.00016885577912661978,6468.845047175047,0.4054651081081644
